x,y,z,x_vel,y_vel,alpha,beta,z_vel,delay,score
0.013,0.005,0.271,-4.953,12.198,0.0001874467386903,0.000140667143477,0.668306704028296,40.70855267426857,0.9283455444249442
-0.13,0.118,0.157,-6.986,12.625,8.869586259170099,9.390281974720754,0.7649220133953485,18.951402898617594,0.9834108761974892
-0.076,0.041,0.125,14.949,-12.298,0.0002338902108333,4.653024230751628,0.897873910014275,20.7311118578029,0.9088199564484416
-0.042,0.065,0.67,-18.52,1.736,6.923127731499823,6.734823208929411,0.5064202140127967,33.186855199493465,0.6044882103171019
0.035,-0.147,0.593,-4.02,15.028,-10.052959821140009,3.727213647096056e-06,0.6956481012478395,40.07005322589794,0.5390752220703166
-0.129,0.129,0.668,15.361,12.04,5.667171590008664,7.4785281538720785,0.4843692363264943,32.83050750363414,0.3645124228746713
0.125,-0.137,0.236,-6.022,3.426,-7.602108827479991,-6.691330833237323,0.5454543539438838,30.45072146937012,0.9476353830276988
-0.09,0.006,0.767,-13.341,-3.713,0.0002337143467688,10.087960074024128,0.4995868855497968,37.78834307523144,0.594583146623641
0.08,-0.041,0.517,-4.281,-1.779,-5.25,-10.0,0.9,40.0,0.628665479034796
-0.041,0.018,0.198,-9.479,-7.324,0.0011408803890258,3.1485905828292866,0.6719065587932485,31.73857153779464,0.936755407313022
0.063,0.008,0.223,-11.003,-12.338,-0.0016937843516869,-3.678677049611593,0.6012568650757417,33.85812772837991,0.9421669814219662
0.084,-0.139,0.338,-5.253,1.806,-6.798381743892949,-3.827339451775466,0.5277115578198637,42.50499934243466,0.9700182030999877
0.083,0.004,0.355,-0.291,0.274,0.0004285091126348,-4.138202071888168,0.484902197961931,45.78764547837971,0.958470851399028
0.103,0.146,0.566,-12.007,10.591,-15.0,-15.0,0.5,10.0,0.0
0.138,-0.145,0.329,-4.261,-0.879,-4.835699088673914,-6.39202805805078,0.538117265188806,41.109630704693885,0.8652883235236426
0.147,-0.07,0.652,-10.614,-5.38,-11.3488833265335,-15.428720965295271,0.6723937404446406,40.550452696910256,0.5540524934061025
0.028,0.116,0.202,-25.068,-30.523,4.326171584181688,0.0002252275744286,0.7049651767876346,31.878377502840703,0.9664311516026662
-0.062,0.068,0.104,-16.798,-14.973,5.6159912881800285,7.221503564062458,0.6939857903937425,11.676059169402414,0.9013843320308622
-0.134,0.094,0.531,12.528,-2.764,10.0,10.0,0.5,21.0,0.4492629518949709
0.079,0.147,0.376,-0.312,-12.33,6.18161346815422,-3.723948569185717,0.4931413859961399,45.15951865737728,0.9697009735079808
-0.08,0.056,0.731,2.228,5.735,10.18918526933676,10.876955552580384,0.4865756479870247,30.643564279070866,0.5721528931862819
0.097,0.017,0.643,-3.146,-12.224,7.600747619414825e-05,-14.65876755191102,0.7258995623791205,40.64105484463612,0.6207448231920994
0.095,-0.138,0.487,19.108,20.565,-10.123046875,-5.1884765625,0.9,40.0,0.3777932954571369
-0.061,0.115,0.718,-1.237,1.01,11.906471560672786,5.900934174528984,0.4887313291258648,32.99184154886713,0.6364517632437471
0.038,0.03,0.532,8.485,-17.659,6.398708791596162e-05,-9.74345458814082,0.705436411872316,31.84850725586944,0.6350738708280652
-0.019,0.068,0.72,3.246,-18.551,9.530807678271298,3.353772102386743,0.7499999880231689,40.130663220792414,0.3992193938845059
-0.095,-0.058,0.667,-4.096,-19.342,-10.903063764431678,10.468991735598658,0.495079011151545,29.23805108523245,0.594246756102925
0.021,-0.005,0.439,4.035,0.068,-2.9858199718161247,-15.182212796719266,1.2533465390027707,30.627168392362663,0.6548605671886197
0.057,0.019,0.608,-13.491,4.967,10.38363419580642,-14.725321769928811,0.749999986555351,30.53555151062932,0.5616327135931088
0.022,-0.075,0.648,-11.678,-13.031,-15.49362382953568,0.0001766566193691,0.676741034525565,39.19948672563799,0.6541352240477117
-0.023,0.051,0.314,-4.509,0.284,2.907377128492013,0.0011472370652294,0.4857620768387954,41.324584851260944,0.8979611162429668
0.032,-0.056,0.435,-7.036,0.528,-10.078125,-5.0,1.3020312500000002,40.0,0.604162122306832
0.098,-0.028,0.513,5.965,-1.901,-4.836930614694087,-15.17851858449149,0.703470857630115,31.44779915793245,0.5452764759557068
0.041,0.057,0.356,-3.557,9.426,3.643507927661905,0.00063034952614,0.4570044054091652,44.91897635290835,0.8767721042238197
-0.05,0.023,0.178,0.381,-0.828,0.0012293433897576,3.291910855346332,0.8777934802153188,29.73536058353957,0.9421895241100764
0.099,0.051,0.202,0.35,-12.342,2.881954187938889,-6.157982853894735,0.6683027635340112,30.999356297219776,0.9474844515441924
0.133,-0.082,0.613,-4.547,-12.016,-11.456502576461933,-9.17200188709394,0.6836829887538483,41.68557955322292,0.449544724118828
0.147,-0.033,0.719,-8.089,-2.172,-4.891315204282683,-15.567211872041916,0.4930564957721793,30.60967424091508,0.6479820795221206
0.005,0.15,0.18,0.582,-3.823,4.2254412098643455,0.0003606218055082,1.01643290681266,29.280869998130385,0.7157660804820263
0.076,0.071,0.211,-4.289,-8.051,4.3765699822973145,-4.972828240037745,0.5454605281940069,29.84235039339017,0.9166463669129152
-0.118,0.073,0.464,4.987,14.319,5.865466009539052,10.271724188128786,0.6670286049106022,30.013936243775547,0.3656502956364378
-0.079,0.07,0.264,-4.649,-5.043,5.125092533640936,5.125151710627904,0.7174685352128642,37.99845954927896,0.8793117293826299
-0.058,0.03,0.162,-0.48,14.756,3.7312942799317295,5.579780703930323,0.545468306923101,22.664766400288222,0.8886867626395843
0.11,-0.028,0.081,2.95,-20.934,-3.053976140745684,-10.02971824426196,0.9691757266728231,9.653414242884304,0.9131852042331672
0.023,0.042,0.449,2.203,-10.98,9.79670199942225,-8.574553343493633,0.6666675366281795,20.936756134515136,0.658964588911963
0.076,0.134,0.285,11.616,9.887,10.674401590870634,-4.543303449767299,0.7101672667832729,39.966245856674064,0.9576818164220692
0.079,-0.049,0.543,-1.764,-15.374,-13.255307234162627,-12.657130516511216,0.922970332113978,39.65970082369945,0.6325680069679923
-0.148,-0.023,0.207,5.646,11.212,0.0001091528043916,9.917821953122283,0.7214215168756131,30.13206752566252,0.948615315343253
0.131,-0.003,0.156,-3.016,-3.209,0.0001677809267495,-9.119507522037754,0.6690350550576738,21.75904842380822,0.927002825337076
-0.101,-0.031,0.221,-0.917,-11.704,-3.0228597383018885,7.30174282623527,0.5001137576445207,29.45919017014466,0.9118077505493304
-0.037,0.005,0.504,10.246,-2.569,7.051545465106858e-05,10.510521448611254,0.881261875438391,29.3387428739696,0.6351053120564921
0.091,0.113,0.397,-3.324,1.237,5.3056981781510935,-4.1721636255972765,0.4500696331348637,47.01392204386018,0.9666751467803476
0.062,-0.05,0.679,4.095,1.192,-8.2053752533402,-10.781510566303965,0.6791974362488666,41.42409497565144,0.544654422994087
-0.069,0.055,0.461,10.915,-9.28,10.0,10.0,1.3,40.0,0.6378768552151888
0.049,-0.084,0.218,10.465,1.081,-6.0828060816736285,-4.243285200193991,0.5015067863566436,29.64399372644984,0.9115106454040048
0.062,0.062,0.543,3.527,14.652,12.617211944984568,-9.015306872088132,0.8605430759769264,41.67642575387397,0.6366051151071688
-0.009,-0.008,0.266,-4.67,5.248,-6.99250957779755e-05,0.0001508328681169,0.7062445236251862,41.00004518987535,0.9397769231810028
0.112,-0.022,0.277,0.647,-6.621,1.1924420177884497e-05,-5.665509322481068,0.7514291262488202,41.60237940075526,0.9033459445492305
